category,yyyy,mm,platform_type,gmv
가구,2017,04,mobile,117279
애완용품,2017,04,mobile,35774
여행 및 교통서비스,2017,04,mobile,600457
문화 및 레저서비스,2017,04,mobile,53515
e쿠폰서비스,2017,04,mobile,72727
음식서비스,2017,04,mobile,166271
기타서비스,2017,04,mobile,31704
기타,2017,04,mobile,72425
컴퓨터 및 주변기기,2017,04,web,251604
가전·전자·통신기기,2017,04,web,366894
서적,2017,04,web,82291
사무·문구,2017,04,web,41721
의복,2017,04,web,441022
신발,2017,04,web,54249
가방,2017,04,web,47250
패션용품 및 액세서리,2017,04,web,59952
스포츠·레저용품,2017,04,web,135380
화장품,2017,04,web,251566
아동·유아용품,2017,04,web,90564
음·식료품,2017,04,web,266606
농축수산물,2017,04,web,65812
생활용품,2017,04,web,246729
자동차 및 자동차용품,2017,04,web,35727
가구,2017,04,web,88744
애완용품,2017,04,web,23609
여행 및 교통서비스,2017,04,web,534384
문화 및 레저서비스,2017,04,web,66084
e쿠폰서비스,2017,04,web,12206
음식서비스,2017,04,web,30273
기타서비스,2017,04,web,21513
기타,2017,04,web,90639
컴퓨터 및 주변기기,2017,05,mobile,109053
가전·전자·통신기기,2017,05,mobile,443900
서적,2017,05,mobile,35774
사무·문구,2017,05,mobile,17810
의복,2017,05,mobile,539150
신발,2017,05,mobile,104765
가방,2017,05,mobile,107327
패션용품 및 액세서리,2017,05,mobile,106764
스포츠·레저용품,2017,05,mobile,154683
화장품,2017,05,mobile,360424
아동·유아용품,2017,05,mobile,198011
음·식료품,2017,05,mobile,394181
농축수산물,2017,05,mobile,112058
생활용품,2017,05,mobile,352665
자동차 및 자동차용품,2017,05,mobile,48770
가구,2017,05,mobile,118222
애완용품,2017,05,mobile,33175
여행 및 교통서비스,2017,05,mobile,607302
문화 및 레저서비스,2017,05,mobile,57009
e쿠폰서비스,2017,05,mobile,83982
음식서비스,2017,05,mobile,179426
기타서비스,2017,05,mobile,25133
기타,2017,05,mobile,72441
컴퓨터 및 주변기기,2017,05,web,241871
가전·전자·통신기기,2017,05,web,417717
서적,2017,05,web,78606
사무·문구,2017,05,web,39428
의복,2017,05,web,439084
신발,2017,05,web,55797
가방,2017,05,web,45044
패션용품 및 액세서리,2017,05,web,61938
스포츠·레저용품,2017,05,web,138288
화장품,2017,05,web,262428
아동·유아용품,2017,05,web,76554
음·식료품,2017,05,web,239172
농축수산물,2017,05,web,63704
생활용품,2017,05,web,247892
자동차 및 자동차용품,2017,05,web,38442
가구,2017,05,web,83217
애완용품,2017,05,web,22937
여행 및 교통서비스,2017,05,web,574594
문화 및 레저서비스,2017,05,web,76776
e쿠폰서비스,2017,05,web,14631
음식서비스,2017,05,web,31139
기타서비스,2017,05,web,18357
기타,2017,05,web,92076
컴퓨터 및 주변기기,2017,06,mobile,113811
가전·전자·통신기기,2017,06,mobile,385920
서적,2017,06,mobile,37657
사무·문구,2017,06,mobile,18181
의복,2017,06,mobile,515569
신발,2017,06,mobile,101494
가방,2017,06,mobile,105539
패션용품 및 액세서리,2017,06,mobile,101447
스포츠·레저용품,2017,06,mobile,151484
화장품,2017,06,mobile,378115
아동·유아용품,2017,06,mobile,183591
음·식료품,2017,06,mobile,398224
농축수산물,2017,06,mobile,114736
생활용품,2017,06,mobile,350978
자동차 및 자동차용품,2017,06,mobile,48653
가구,2017,06,mobile,119363
애완용품,2017,06,mobile,33360
여행 및 교통서비스,2017,06,mobile,605819
문화 및 레저서비스,2017,06,mobile,57802
e쿠폰서비스,2017,06,mobile,78868
음식서비스,2017,06,mobile,170090
기타서비스,2017,06,mobile,22907
기타,2017,06,mobile,80383
컴퓨터 및 주변기기,2017,06,web,262908
가전·전자·통신기기,2017,06,web,366554
서적,2017,06,web,78615
사무·문구,2017,06,web,37788
의복,2017,06,web,394173
신발,2017,06,web,54666
가방,2017,06,web,43903
패션용품 및 액세서리,2017,06,web,61378
스포츠·레저용품,2017,06,web,137585
화장품,2017,06,web,274418
아동·유아용품,2017,06,web,75478
음·식료품,2017,06,web,243369
농축수산물,2017,06,web,66113
생활용품,2017,06,web,246264
자동차 및 자동차용품,2017,06,web,39538
가구,2017,06,web,84221
애완용품,2017,06,web,22732
여행 및 교통서비스,2017,06,web,605089
문화 및 레저서비스,2017,06,web,86509
e쿠폰서비스,2017,06,web,16151
음식서비스,2017,06,web,25541
